"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","dpct","gene","motif"
"MA0162.4",7.1696665705079e-14,0.678972095827471,0.736,0.44,5.34857126159889e-11,0.296,"MA0162.4","EGR1"
"MA0733.1",5.26093365943107e-13,0.828070467445329,0.752,0.459,3.92465650993558e-10,0.293,"MA0733.1","EGR4"
"MA1107.2",1.0024591406774e-12,0.573147505969374,0.864,0.61,7.47834518945342e-10,0.254,"MA1107.2","KLF9"
"MA0864.2",1.69807065530976e-12,-0.541241611522215,0.632,0.807,1.26676070886108e-09,-0.175,"MA0864.2","E2F2"
"MA0051.1",1.75459647305535e-12,0.539075118606268,0.992,0.828,1.30892896889929e-09,0.164,"MA0051.1","IRF2"
"MA1517.1",2.02955597517097e-12,0.599045404837517,0.912,0.733,1.51404875747754e-09,0.179,"MA1517.1","KLF6"
"MA0470.2",4.87453319208754e-12,-0.617214307861607,0.584,0.775,3.63640176129731e-09,-0.191,"MA0470.2","E2F4"
"MA0694.1",1.77234116152381e-11,-0.445029407806978,0.672,0.85,1.32216650649676e-08,-0.178,"MA0694.1","ZBTB7B"
"MA0155.1",2.2309864982591e-11,2.87310426120643,0.336,0.167,1.66431592770129e-08,0.169,"MA0155.1","INSM1"
"MA0497.1",9.55048814573205e-11,1.92256487170639,0.512,0.21,7.12466415671611e-08,0.302,"MA0497.1","MEF2C"
"MA0728.1",1.40141757974316e-10,-0.840865919463507,0.424,0.597,1.04545751448839e-07,-0.173,"MA0728.1","Nr2f6(var.2)"
"MA1623.1",2.04937964881763e-10,0.600680407605029,0.824,0.616,1.52883721801796e-07,0.208,"MA1623.1","Stat2"
"MA1419.1",5.07555016295231e-10,0.417601604991527,1,0.969,3.78636042156243e-07,0.031,"MA1419.1","IRF4"
"MA1100.2",5.58194323158167e-10,0.777356296481778,0.6,0.399,4.16412965075993e-07,0.201,"MA1100.2","ASCL1"
"MA0822.1",5.8671609158486e-10,-0.47355796114954,0.584,0.817,4.37690204322306e-07,-0.233,"MA0822.1","HES7"
"MA1583.1",6.16136288375074e-10,-0.477702425110677,0.624,0.792,4.59637671127805e-07,-0.168,"MA1583.1","ZFP57"
"MA0259.1",7.41594409598168e-10,-0.571680815946809,0.568,0.773,5.53229429560233e-07,-0.205,"MA0259.1","ARNT::HIF1A"
"MA0821.1",1.37105217974109e-09,-0.423340174137454,0.64,0.818,1.02280492608686e-06,-0.178,"MA0821.1","HES5"
"MA0773.1",1.58444846121266e-09,1.04131584012766,0.648,0.37,1.18199855206465e-06,0.278,"MA0773.1","MEF2D"
"MA0595.1",1.72521653022185e-09,-0.381378254508198,0.792,0.884,1.2870115315455e-06,-0.092,"MA0595.1","SREBF1"
"MA1628.1",1.96406189986225e-09,1.23722656049214,0.384,0.226,1.46519017729724e-06,0.158,"MA1628.1","Zic1::Zic2"
"MA1683.1",2.71998546775197e-09,1.00406327852773,0.432,0.286,2.02910915894297e-06,0.146,"MA1683.1","FOXA3"
"MA1106.1",2.73661448269657e-09,-0.489427077196598,0.6,0.783,2.04151440409164e-06,-0.183,"MA1106.1","HIF1A"
"MA0859.1",3.03114703535328e-09,-1.07272099917648,0.272,0.49,2.26123568837355e-06,-0.218,"MA0859.1","Rarg"
"MA0782.2",3.79759042216528e-09,-0.432017298268513,0.672,0.814,2.8330024549353e-06,-0.142,"MA0782.2","PKNOX1"
"MA0475.2",5.70224591508708e-09,-0.0771107988168365,0.992,0.996,4.25387545265496e-06,-0.004,"MA0475.2","FLI1"
"MA0019.1",6.02472424853761e-09,-1.59204407373077,0.2,0.388,4.49444428940905e-06,-0.188,"MA0019.1","Ddit3::Cebpa"
"MA1112.2",7.8653711046984e-09,-1.7269470901308,0.224,0.465,5.86756684410501e-06,-0.241,"MA1112.2","NR4A1"
"MA0047.3",8.54021925406825e-09,1.24595112677097,0.352,0.241,6.37100356353492e-06,0.111,"MA0047.3","FOXA2"
"MA0004.1",9.75710427625382e-09,-0.360140200323241,0.664,0.801,7.27879979008535e-06,-0.137,"MA0004.1","Arnt"
"MA0687.1",1.08252448219209e-08,0.50917432336291,0.92,0.728,8.07563263715302e-06,0.192,"MA0687.1","SPIC"
"MA0050.2",1.21793659559625e-08,0.469111377589849,0.928,0.804,9.08580700314802e-06,0.124,"MA0050.2","IRF1"
"MA0792.1",1.45498982660419e-08,0.46920364931614,0.92,0.783,1.08542241064673e-05,0.137,"MA0792.1","POU5F1B"
"MA0108.2",2.01935642037814e-08,1.10936071444205,0.52,0.275,1.5064398896021e-05,0.245,"MA0108.2","TBP"
"MA1560.1",2.09574954386016e-08,-0.442292938788414,0.624,0.783,1.56342915971968e-05,-0.159,"MA1560.1","SOHLH2"
"MA1516.1",3.12618130756463e-08,0.535495433095475,0.816,0.629,2.33213125544321e-05,0.187,"MA1516.1","KLF3"
"MA0787.1",3.16562586002449e-08,0.53990521120392,0.8,0.629,2.36155689157827e-05,0.171,"MA0787.1","POU3F2"
"MA0653.1",5.50935624942669e-08,0.379360590485522,1,0.974,4.10997976207231e-05,0.026,"MA0653.1","IRF9"
"MA0816.1",5.7729367843248e-08,1.01378894984291,0.456,0.26,4.3066108411063e-05,0.196,"MA0816.1","Ascl2"
"MA1615.1",6.09854004984491e-08,1.86774283384202,0.304,0.144,4.5495108771843e-05,0.16,"MA1615.1","Plagl1"
"MA0699.1",6.69141250053346e-08,1.03921254804904,0.432,0.243,4.99179372539796e-05,0.189,"MA0699.1","LBX2"
"MA0511.2",7.61018031802045e-08,-0.102595751136218,1,0.988,5.67719451724325e-05,0.012,"MA0511.2","RUNX2"
"MA1105.2",1.04547622632998e-07,0.483412738129902,0.808,0.654,7.79925264842163e-05,0.154,"MA1105.2","GRHL2"
"MA1635.1",1.0835961182532e-07,1.16786566342084,0.336,0.231,8.08362704216889e-05,0.105,"MA1635.1","BHLHE22(var.2)"
"MA0672.1",1.32476722979181e-07,-0.500038222360501,0.488,0.676,9.88276353424691e-05,-0.188,"MA0672.1","NKX2-3"
"MA1652.1",1.48100733755387e-07,0.499733675113673,0.736,0.561,0.000110483147381519,0.175,"MA1652.1","ZKSCAN5"
"MA0788.1",1.55221656049447e-07,0.597368780678635,0.744,0.521,0.000115795355412887,0.223,"MA0788.1","POU3F3"
"MA0634.1",1.69930334139958e-07,1.84881287608882,0.344,0.185,0.000126768029268409,0.159,"MA0634.1","ALX3"
"MA0058.3",1.9243233684112e-07,-0.409027020132361,0.616,0.752,0.000143554523283475,-0.136,"MA0058.3","MAX"
"MA0786.1",1.95258176421559e-07,0.461467057488596,0.872,0.695,0.000145662599610483,0.177,"MA0786.1","POU3F1"
"MA0829.2",2.05335210236031e-07,-0.232810277091532,0.848,0.904,0.000153180066836079,-0.056,"MA0829.2","SREBF1(var.2)"
"MA1418.1",2.41596361154924e-07,0.461242963321502,0.936,0.827,0.000180230885421574,0.109,"MA1418.1","IRF3"
"MA1596.1",3.17082797056561e-07,-0.306236995667917,0.488,0.628,0.000236543766604195,-0.14,"MA1596.1","ZNF460"
"MA1655.1",3.20707390341518e-07,2.35775111171871,0.32,0.155,0.000239247713194772,0.165,"MA1655.1","ZNF341"
"MA1515.1",3.44339374867715e-07,0.409145213441516,0.944,0.723,0.000256877173651315,0.221,"MA1515.1","KLF2"
"MA0825.1",3.51074150152025e-07,-0.377720935351027,0.664,0.773,0.00026190131601341,-0.109,"MA0825.1","MNT"
"MA1103.2",3.92524716067676e-07,0.785641702987781,0.392,0.295,0.000292823438186486,0.097,"MA1103.2","FOXK2"
