"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","dpct","gene","motif"
"MA1525.1",0.00212180221108549,0.365226044183961,0.923,0.799,1,0.124,"MA1525.1","NFATC4"
"MA1494.1",0.00219689477069909,0.397563137471551,0.868,0.825,1,0.043,"MA1494.1","HNF4A(var.2)"
"MA1593.1",0.00266467271530818,0.522173164376932,0.397,0.316,1,0.081,"MA1593.1","ZNF317"
"MA1420.1",0.00284524695944405,0.633006449321427,0.371,0.312,1,0.059,"MA1420.1","IRF5"
"MA0688.1",0.00296074687414154,-1.99282872876922,0.191,0.338,1,-0.147,"MA0688.1","TBX2"
"MA1421.1",0.0031238120410681,0.409981140964402,0.897,0.791,1,0.106,"MA1421.1","TCF7L1"
"MA1511.1",0.00321323368962416,0.500742385001366,0.518,0.406,1,0.112,"MA1511.1","KLF10"
"MA0762.1",0.00343377287504171,0.472548111960843,0.989,0.932,1,0.0569999999999999,"MA0762.1","ETV2"
"MA1512.1",0.00346040379094418,0.499614711892353,0.529,0.376,1,0.153,"MA1512.1","KLF11"
"MA1615.1",0.00357050755261756,-0.222532818843442,0.515,0.62,1,-0.105,"MA1615.1","Plagl1"
"MA0664.1",0.00360199536380029,0.596250550329037,0.335,0.274,1,0.061,"MA0664.1","MLXIPL"
"MA0095.2",0.0042897644825043,-4.76493187168553,0.14,0.278,1,-0.138,"MA0095.2","YY1"
"MA0601.1",0.00437617772472462,0.326159739035896,0.581,0.457,1,0.124,"MA0601.1","Arid3b"
"MA1116.1",0.00449370238506998,0.0358741409195606,0.934,0.859,1,0.0750000000000001,"MA1116.1","RBPJ"
"MA0730.1",0.00471849983903044,0.400808960667783,0.838,0.778,1,0.0599999999999999,"MA0730.1","RARA(var.2)"
"MA1498.1",0.00555326673834034,-0.529613300930978,0.36,0.466,1,-0.106,"MA1498.1","HOXA7"
"MA0910.2",0.00555326673834034,-0.529613300930978,0.36,0.466,1,-0.106,"MA0910.2","HOXD8"
"MA0024.3",0.00559312958266577,0.362355448858128,0.614,0.521,1,0.093,"MA0024.3","E2F1"
"MA0643.1",0.00580226227717727,0.390422229333103,0.868,0.752,1,0.116,"MA0643.1","Esrrg"
"MA0151.1",0.00585074599393386,0.275615165837497,0.599,0.491,1,0.108,"MA0151.1","Arid3a"
"MA0748.2",0.0063717267129631,-1.31129391523415,0.206,0.321,1,-0.115,"MA0748.2","YY2"
"MA0153.2",0.00642561200769025,-0.814352837592476,0.235,0.385,1,-0.15,"MA0153.2","HNF1B"
"MA0465.2",0.00673303129285433,0.270843505408763,0.537,0.41,1,0.127,"MA0465.2","CDX2"
