"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","dpct","gene","motif"
"MA0074.1",0.163566929249186,0.236083719554277,0.695,0.607,1,0.088,"MA0074.1","RXRA::VDR"
"MA0883.1",0.163685884878405,-1.79590342615779,0.151,0.201,1,-0.05,"MA0883.1","Dmbx1"
"MA1118.1",0.164219353064446,-0.23960523889208,0.39,0.453,1,-0.063,"MA1118.1","SIX1"
"MA0052.4",0.171458313914829,0.298441668350207,0.676,0.581,1,0.0950000000000001,"MA0052.4","MEF2A"
"MA0662.1",0.172443624300694,0.182589731113798,0.544,0.496,1,0.048,"MA0662.1","MIXL1"
"MA0702.2",0.174953859964385,0.168007172067619,0.533,0.47,1,0.0630000000000001,"MA0702.2","LMX1A"
"MA0865.1",0.176057312716577,0.252074200704336,0.658,0.577,1,0.0810000000000001,"MA0865.1","E2F8"
"MA0644.1",0.178305712810624,0.249961979991418,0.559,0.415,1,0.144,"MA0644.1","ESX1"
"MA0676.1",0.180100114687373,0.235870113316579,0.614,0.556,1,0.0579999999999999,"MA0676.1","Nr2e1"
"MA0135.1",0.189069177870723,-0.488514849096314,0.287,0.316,1,-0.029,"MA0135.1","Lhx3"
"MA1514.1",0.190498003452509,0.15722686793194,0.386,0.321,1,0.065,"MA1514.1","KLF17"
"MA0818.1",0.196974073077937,0.143955257280943,0.676,0.603,1,0.0730000000000001,"MA0818.1","BHLHE22"
"MA1102.2",0.19808968114127,0.153912843725865,0.665,0.603,1,0.0620000000000001,"MA1102.2","CTCFL"
"MA0873.1",0.198111761080462,-0.195921688924233,0.375,0.462,1,-0.087,"MA0873.1","HOXD12"
"MA0654.1",0.198632531210657,0.190022036134299,0.566,0.462,1,0.104,"MA0654.1","ISX"
"MA0717.1",0.198632531210657,0.190022036134299,0.566,0.462,1,0.104,"MA0717.1","RAX2"
"MA0720.1",0.198632531210657,0.190022036134299,0.566,0.462,1,0.104,"MA0720.1","Shox2"
"MA1597.1",0.199187477009277,0.277949220676636,0.893,0.761,1,0.132,"MA1597.1","ZNF528"
"MA1560.1",0.200575148289141,-0.329352019630256,0.371,0.432,1,-0.061,"MA1560.1","SOHLH2"
"MA0469.3",0.203204050853673,0.149365305710794,0.474,0.483,1,-0.00900000000000001,"MA0469.3","E2F3"
"MA0908.1",0.206146710491649,-0.36511357207971,0.349,0.419,1,-0.07,"MA0908.1","HOXD11"
"MA1538.1",0.208418648616057,0.289431095522677,0.754,0.645,1,0.109,"MA1538.1","NR2F1(var.3)"
"MA0159.1",0.209301259574634,0.273782211881212,0.849,0.829,1,0.02,"MA0159.1","RARA::RXRA"
"MA0603.1",0.209362802169266,-0.0941724650831901,0.268,0.299,1,-0.031,"MA0603.1","Arntl"
"MA0886.1",0.215399105135231,0.221195337240592,0.632,0.556,1,0.076,"MA0886.1","EMX2"
"MA1657.1",0.216773974822628,0.218629974667695,0.57,0.474,1,0.096,"MA1657.1","ZNF652"
"MA0681.2",0.219386645780522,-0.351304013602784,0.324,0.419,1,-0.095,"MA0681.2","PHOX2B"
"MA0888.1",0.219529399089606,-0.0846381496150862,0.577,0.598,1,-0.021,"MA0888.1","EVX2"
"MA0823.1",0.223310407841608,-0.23206412974776,0.375,0.415,1,-0.04,"MA0823.1","HEY1"
"MA1640.1",0.230800612821871,-0.294607646869582,0.412,0.427,1,-0.015,"MA1640.1","MEIS2(var.2)"
"MA0521.1",0.235144615459906,-2.8714156515077,0.162,0.269,1,-0.107,"MA0521.1","Tcf12"
"MA1608.1",0.236783504351258,-0.0589361017377483,0.61,0.637,1,-0.027,"MA1608.1","Isl1"
"MA0608.1",0.237706500471812,-0.599824980793761,0.276,0.325,1,-0.049,"MA0608.1","Creb3l2"
"MA0705.1",0.240808778737678,0.197126141614876,0.537,0.479,1,0.0580000000000001,"MA0705.1","Lhx8"
"MA0612.2",0.240808778737678,0.197126141614876,0.537,0.479,1,0.0580000000000001,"MA0612.2","EMX1"
"MA0525.2",0.243806246782864,0.184599906331794,0.39,0.342,1,0.048,"MA0525.2","TP63"
"MA0139.1",0.244197391173716,-0.0783250727418676,0.779,0.821,1,-0.0419999999999999,"MA0139.1","CTCF"
"MA0009.2",0.244950401070294,-0.358088707863487,0.386,0.457,1,-0.071,"MA0009.2","TBXT"
"MA1497.1",0.255246915137218,-0.111410350223955,0.596,0.577,1,0.019,"MA1497.1","HOXA6"
"MA0674.1",0.258728535598157,0.181054884814324,0.529,0.457,1,0.072,"MA0674.1","NKX6-1"
"MA1519.1",0.258728535598157,0.181054884814324,0.529,0.457,1,0.072,"MA1519.1","LHX5"
"MA0896.1",0.264170067473316,0.18588861478991,0.54,0.479,1,0.0610000000000001,"MA0896.1","Hmx1"
"MA0483.1",0.270385967178969,-0.337130946752071,0.327,0.359,1,-0.032,"MA0483.1","Gfi1b"
"MA1125.1",0.27133733514224,0.27670077369591,0.614,0.504,1,0.11,"MA1125.1","ZNF384"
"MA1594.1",0.271674357329598,0.198176759740031,0.368,0.38,1,-0.012,"MA1594.1","ZNF382"
"MA1581.1",0.27309207376621,0.0207715811226423,0.544,0.509,1,0.035,"MA1581.1","ZBTB6"
"MA1535.1",0.277653922459877,0.262033371094493,0.871,0.774,1,0.097,"MA1535.1","NR2C1"
"MA0752.1",0.281561193135901,-0.105160909868388,0.548,0.568,1,-0.0199999999999999,"MA0752.1","ZNF410"
"MA1483.1",0.285726966290678,0.147013717478378,0.438,0.427,1,0.011,"MA1483.1","ELF2"
"MA0635.1",0.286911605701358,-0.0606357675856098,0.397,0.376,1,0.021,"MA0635.1","BARHL2"
"MA0109.1",0.292564940968985,0.13463571455568,0.713,0.65,1,0.0629999999999999,"MA0109.1","HLTF"
"MA0667.1",0.295320549139424,-1.12161639149987,0.191,0.256,1,-0.065,"MA0667.1","MYF6"
"MA0784.1",0.295510272657076,0.0175281135649891,0.349,0.346,1,0.003,"MA0784.1","POU1F1"
"MA0738.1",0.295693191859361,0.035928968641382,0.57,0.581,1,-0.011,"MA0738.1","HIC2"
"MA1154.1",0.297092277636677,0.249827871922292,0.607,0.573,1,0.034,"MA1154.1","ZNF282"
"MA0258.2",0.30422686823662,0.055194313693073,0.651,0.624,1,0.027,"MA0258.2","ESR2"
"MA0646.1",0.30582885605225,0.12704821709371,0.415,0.38,1,0.035,"MA0646.1","GCM1"
"MA0636.1",0.311465566598751,-0.270769659248171,0.224,0.244,1,-0.02,"MA0636.1","BHLHE41"
"MA0631.1",0.338757892786886,-0.173228870488726,0.401,0.432,1,-0.031,"MA0631.1","Six3"
"MA0069.1",0.3445500692556,-0.274833536039376,0.36,0.415,1,-0.055,"MA0069.1","PAX6"
"MA0660.1",0.344961847569019,0.310209080780008,0.57,0.538,1,0.0319999999999999,"MA0660.1","MEF2B"
"MA0461.2",0.356718289732652,0.0637465924403628,0.636,0.581,1,0.055,"MA0461.2","Atoh1"
"MA0463.2",0.360763346555565,0.274456819761734,0.893,0.812,1,0.081,"MA0463.2","BCL6"
"MA0819.1",0.360936129586055,-0.148573005424078,0.441,0.479,1,-0.038,"MA0819.1","CLOCK"
"MA0106.3",0.362303207818783,-0.245522287280479,0.331,0.372,1,-0.041,"MA0106.3","TP53"
"MA1501.1",0.368650387798987,-0.160966504198757,0.408,0.47,1,-0.062,"MA1501.1","HOXB7"
"MA0897.1",0.375327479279805,0.160186047711116,0.555,0.526,1,0.029,"MA0897.1","Hmx2"
"MA0808.1",0.384763087841013,-0.0153126029938678,0.717,0.756,1,-0.039,"MA0808.1","TEAD3"
"MA0813.1",0.388718138700216,-0.0439832068638716,0.559,0.543,1,0.016,"MA0813.1","TFAP2B(var.3)"
"MA0742.1",0.391549820186326,-0.145121292200271,0.393,0.38,1,0.013,"MA0742.1","Klf12"
"MA0706.1",0.393207369268732,0.165601511225164,0.695,0.598,1,0.097,"MA0706.1","MEOX2"
"MA1464.1",0.39493869000645,-0.176916381707602,0.272,0.308,1,-0.036,"MA1464.1","ARNT2"
"MA0634.1",0.396292330959555,0.162697468324072,0.555,0.521,1,0.034,"MA0634.1","ALX3"
"MA1468.1",0.40377834577193,-0.0116333059129269,0.485,0.444,1,0.041,"MA1468.1","ATOH7"
"MA0879.1",0.404600569630614,0.107882708701475,0.669,0.585,1,0.0840000000000001,"MA0879.1","Dlx1"
"MA0731.1",0.408013651015977,0.110196158612193,0.809,0.765,1,0.044,"MA0731.1","BCL6B"
"MA0668.1",0.410632607573077,0.0874973327567942,0.662,0.624,1,0.038,"MA0668.1","NEUROD2"
"MA0079.4",0.415490494073199,0.15518229296988,0.382,0.346,1,0.036,"MA0079.4","SP1"
"MA0790.1",0.425894389971682,-0.118105304402496,0.452,0.44,1,0.012,"MA0790.1","POU4F1"
"MA0470.2",0.430479570050766,0.0879310872354206,0.537,0.509,1,0.028,"MA0470.2","E2F4"
"MA1629.1",0.432629037167632,0.0735554892994413,0.64,0.637,1,0.003,"MA1629.1","Zic2"
"MA1568.1",0.435585160031455,0.0575896776488654,0.721,0.679,1,0.0419999999999999,"MA1568.1","TCF21(var.2)"
"MA0737.1",0.440441869588025,0.0707415362986128,0.581,0.551,1,0.0299999999999999,"MA0737.1","GLIS3"
"MA0780.1",0.44188728129418,-0.137544564909262,0.507,0.526,1,-0.019,"MA0780.1","PAX3"
"MA0627.2",0.444060106360677,-2.48676460289988,0.158,0.197,1,-0.039,"MA0627.2","POU2F3"
"MA0017.2",0.446271205837634,0.193071020721553,0.688,0.654,1,0.0339999999999999,"MA0017.2","NR2F1"
"MA0707.1",0.44661748062684,0.143185495020995,0.607,0.577,1,0.03,"MA0707.1","MNX1"
"MA1599.1",0.446858491236091,0.260288180522059,0.5,0.427,1,0.073,"MA1599.1","ZNF682"
"MA0890.1",0.447156990010861,-0.0795531125376509,0.452,0.432,1,0.02,"MA0890.1","GBX2"
"MA0651.1",0.45600767630139,-0.16769891279547,0.342,0.415,1,-0.073,"MA0651.1","HOXC11"
"MA0828.1",0.463366564996592,-1.44886372262737,0.199,0.278,1,-0.079,"MA0828.1","SREBF2(var.2)"
"MA0774.1",0.466525836747622,-0.0558369065233222,0.43,0.444,1,-0.014,"MA0774.1","MEIS2"
"MA1569.1",0.467079230317148,-0.228493364311196,0.309,0.376,1,-0.067,"MA1569.1","TFAP2E"
"MA0685.1",0.491165975389453,0.124395416109109,0.397,0.372,1,0.025,"MA0685.1","SP4"
"MA0857.1",0.501569471271255,0.170513713016913,0.831,0.769,1,0.0619999999999999,"MA0857.1","Rarb"
"MA1575.1",0.501620172479599,0.203879737389207,0.765,0.658,1,0.107,"MA1575.1","THRB(var.2)"
"MA0809.2",0.503260188771963,0.162948078479524,0.835,0.782,1,0.0529999999999999,"MA0809.2","TEAD4"
"MA1553.1",0.505251706322807,0.0922553703943504,0.713,0.709,1,0.004,"MA1553.1","RARG(var.3)"
"MA0825.1",0.523863046194275,-0.349209778834254,0.298,0.359,1,-0.061,"MA0825.1","MNT"
"MA0063.2",0.526655098206192,0.0174464040835954,0.456,0.444,1,0.012,"MA0063.2","NKX2-5"
"MA0811.1",0.527968354056694,-0.261639864229514,0.294,0.321,1,-0.027,"MA0811.1","TFAP2B"
"MA1100.2",0.531301957921556,-0.63172115191978,0.254,0.308,1,-0.054,"MA1100.2","ASCL1"
"MA0616.2",0.535573845281941,-0.392697383488362,0.217,0.286,1,-0.069,"MA0616.2","HES2"
"MA0895.1",0.53728159845313,-0.692966957266861,0.213,0.261,1,-0.048,"MA0895.1","HMBOX1"
"MA0735.1",0.549841479245305,-0.0521961077389299,0.423,0.406,1,0.017,"MA0735.1","GLIS1"
"MA0725.1",0.566032264940847,0.0248972419758016,0.566,0.543,1,0.0229999999999999,"MA0725.1","VSX1"
"MA0726.1",0.566032264940847,0.0248972419758016,0.566,0.543,1,0.0229999999999999,"MA0726.1","VSX2"
"MA1122.1",0.567322004591097,0.0548619373278177,0.665,0.594,1,0.0710000000000001,"MA1122.1","TFDP1"
"MA1495.1",0.574052089771969,-0.0679589258152487,0.496,0.526,1,-0.03,"MA1495.1","HOXA1"
"MA0158.2",0.574052089771969,-0.0679589258152487,0.496,0.526,1,-0.03,"MA0158.2","HOXA5"
"MA0904.2",0.574052089771969,-0.0679589258152487,0.496,0.526,1,-0.03,"MA0904.2","HOXB5"
"MA0038.2",0.574268840435834,-0.0822835919791319,0.364,0.44,1,-0.076,"MA0038.2","GFI1"
"MA1099.2",0.579971744224561,-0.975361376301481,0.18,0.274,1,-0.094,"MA1099.2","HES1"
"MA1476.1",0.583005869831048,-0.0214907392748648,0.599,0.641,1,-0.042,"MA1476.1","DLX5"
"MA0672.1",0.588151808787735,-0.00784042227165802,0.544,0.551,1,-0.00700000000000001,"MA0672.1","NKX2-3"
"MA0618.1",0.588476761445635,0.122629657877779,0.482,0.44,1,0.042,"MA0618.1","LBX1"
"MA0502.2",0.592050528289954,0.0183702686546552,0.312,0.291,1,0.021,"MA0502.2","NFYB"
"MA1625.1",0.597293523005093,0.101337540332827,0.824,0.808,1,0.0159999999999999,"MA1625.1","Stat5b"
"MA0804.1",0.605421806133131,-0.0709759077872375,0.515,0.573,1,-0.0579999999999999,"MA0804.1","TBX19"
"MA0775.1",0.606722730904793,0.170604095687095,0.654,0.581,1,0.0730000000000001,"MA0775.1","MEIS3"
"MA1592.1",0.613113068401773,-0.0915903586014214,0.46,0.483,1,-0.023,"MA1592.1","ZNF274"
"MA0494.1",0.617028158543804,0.0720358190274992,0.485,0.444,1,0.041,"MA0494.1","Nr1h3::Rxra"
"MA0003.4",0.622637680074675,0.0923932422194228,0.471,0.44,1,0.031,"MA0003.4","TFAP2A"
"MA1509.1",0.625984702803644,0.00723154146066035,0.46,0.462,1,-0.002,"MA1509.1","IRF6"
"MA0155.1",0.650285504336837,-0.0144289641665869,0.526,0.526,1,0,"MA0155.1","INSM1"
"MA0747.1",0.657222933121673,0.11764015860151,0.463,0.432,1,0.031,"MA0747.1","SP8"
"MA0826.1",0.65729978234198,-0.056667314644763,0.515,0.556,1,-0.041,"MA0826.1","OLIG1"
"MA0887.1",0.662271332597854,0.00754322638907157,0.632,0.641,1,-0.00900000000000001,"MA0887.1","EVX1"
"MA0859.1",0.66495603648994,0.105238238296298,0.71,0.705,1,0.005,"MA0859.1","Rarg"
"MA0083.3",0.672202186460797,-0.0303090454229531,0.456,0.457,1,-0.001,"MA0083.3","SRF"
"MA1564.1",0.674844940260509,0.0884236279761549,0.375,0.355,1,0.02,"MA1564.1","SP9"
"MA1515.1",0.677404847584353,0.0909024651815977,0.441,0.389,1,0.052,"MA1515.1","KLF2"
"MA1500.1",0.681836959195799,0.00869554403258874,0.544,0.513,1,0.031,"MA1500.1","HOXB6"
"MA0842.2",0.689400582070586,-0.0848024805611206,0.426,0.491,1,-0.065,"MA0842.2","NRL"
"MA0679.2",0.690359563090665,0.0598930899062571,0.489,0.479,1,0.01,"MA0679.2","ONECUT1"
"MA0853.1",0.693924041702086,0.102785082119966,0.537,0.534,1,0.003,"MA0853.1","Alx4"
"MA1532.1",0.702098240257969,0.0928799558535079,0.555,0.534,1,0.021,"MA1532.1","NR1D2"
"MA1651.1",0.703336435534466,-0.0318833835327713,0.452,0.419,1,0.033,"MA1651.1","ZFP42"
"MA0816.1",0.712310775383283,-0.371652862883066,0.235,0.282,1,-0.047,"MA0816.1","Ascl2"
"MA0785.1",0.724595924466324,-0.23584111053645,0.257,0.308,1,-0.051,"MA0785.1","POU2F1"
"MA1480.1",0.725141917306113,-0.0272951019973435,0.305,0.346,1,-0.041,"MA1480.1","DPRX"
"MA1544.1",0.740391246492795,0.13992951314853,0.482,0.487,1,-0.005,"MA1544.1","OVOL1"
"MA1585.1",0.742187624722349,0.11739135308958,0.588,0.53,1,0.0579999999999999,"MA1585.1","ZKSCAN1"
"MA0527.1",0.742430930380131,-0.190891168360692,0.338,0.406,1,-0.068,"MA0527.1","ZBTB33"
"MA0132.2",0.74437984075495,0.0735572936660805,0.544,0.491,1,0.053,"MA0132.2","PDX1"
"MA0900.2",0.74437984075495,0.0735572936660805,0.544,0.491,1,0.053,"MA0900.2","HOXA2"
"MA0912.2",0.74437984075495,0.0735572936660805,0.544,0.491,1,0.053,"MA0912.2","HOXD3"
"MA0736.1",0.754595215697273,0.122826146934451,0.684,0.645,1,0.039,"MA0736.1","GLIS2"
"MA0092.1",0.767768656508057,0.138478642528769,0.68,0.645,1,0.035,"MA0092.1","Hand1::Tcf3"
"MA1119.1",0.768365432653821,-0.330175360465581,0.191,0.252,1,-0.061,"MA1119.1","SIX2"
"MA0145.3",0.770357619788728,0.0965073093243157,0.562,0.513,1,0.049,"MA0145.3","TFCP2"
"MA0744.2",0.77151891022552,-0.0907398335065176,0.511,0.581,1,-0.07,"MA0744.2","SCRT2"
"MA0661.1",0.773163623654611,0.00616979134175091,0.533,0.556,1,-0.023,"MA0661.1","MEOX1"
"MA0885.1",0.774441245476587,0.0764957975675664,0.592,0.556,1,0.0359999999999999,"MA0885.1","Dlx2"
"MA0758.1",0.775043598551445,0.190532072643185,0.75,0.654,1,0.096,"MA0758.1","E2F7"
"MA0524.2",0.786961858468537,-0.0444436081549446,0.305,0.291,1,0.014,"MA0524.2","TFAP2C"
"MA0793.1",0.789493429347357,-0.177552403567022,0.353,0.368,1,-0.015,"MA0793.1","POU6F2"
"MA0880.1",0.798961222493652,-0.0187608540387648,0.485,0.457,1,0.028,"MA0880.1","Dlx3"
"MA0881.1",0.798961222493652,-0.0187608540387648,0.485,0.457,1,0.028,"MA0881.1","Dlx4"
"MA0479.1",0.799505954424689,0.129137492195516,0.695,0.65,1,0.0449999999999999,"MA0479.1","FOXH1"
"MA0914.1",0.800379339780724,0.11089162574236,0.496,0.509,1,-0.013,"MA0914.1","ISL2"
"MA0729.1",0.800950957420691,0.137619583627381,0.728,0.675,1,0.0529999999999999,"MA0729.1","RARA"
"MA0776.1",0.80126794800348,-0.0508185324324559,0.474,0.449,1,0.025,"MA0776.1","MYBL1"
"MA1517.1",0.803125844599751,-0.101565872108424,0.357,0.35,1,0.00700000000000001,"MA1517.1","KLF6"
"MA0862.1",0.815002099515252,0.0143613333861037,0.335,0.359,1,-0.024,"MA0862.1","GMEB2"
"MA1654.1",0.827968570606528,0.122985247724648,0.592,0.556,1,0.0359999999999999,"MA1654.1","ZNF16"
"MA1545.1",0.834093001706497,0.0511066155567618,0.474,0.449,1,0.025,"MA1545.1","OVOL2"
"MA0669.1",0.834542118545052,0.00427329753505543,0.581,0.551,1,0.0299999999999999,"MA0669.1","NEUROG2"
"MA0124.2",0.834590364980465,0.151660821471533,0.386,0.389,1,-0.003,"MA0124.2","Nkx3-1"
"MA0680.1",0.837529820831665,-0.0809615704991539,0.404,0.466,1,-0.062,"MA0680.1","PAX7"
"MA0059.1",0.842466434257395,-1.12091088440826,0.221,0.226,1,-0.005,"MA0059.1","MAX::MYC"
"MA0892.1",0.855194532183967,-0.00955062395178664,0.482,0.479,1,0.003,"MA0892.1","GSX1"
"MA0711.1",0.856828954306708,0.000143924175276922,0.39,0.389,1,0.001,"MA0711.1","OTX1"
"MA0902.2",0.862129130515681,0.0209847847216707,0.537,0.53,1,0.00700000000000001,"MA0902.2","HOXB2"
"MA0854.1",0.867583260994006,-0.0638879021509486,0.404,0.453,1,-0.049,"MA0854.1","Alx1"
"MA0673.1",0.872235297036143,0.0585662607817796,0.607,0.568,1,0.039,"MA0673.1","NKX2-8"
"MA0786.1",0.880273223878668,-0.259890674007179,0.276,0.291,1,-0.015,"MA0786.1","POU3F1"
"MA0125.1",0.882255042938025,0.0103555220919005,0.467,0.457,1,0.01,"MA0125.1","Nobox"
"MA1635.1",0.894146084701157,-0.266746254390915,0.287,0.333,1,-0.046,"MA1635.1","BHLHE22(var.2)"
"MA0810.1",0.904782007706361,-0.0170121713494329,0.32,0.342,1,-0.022,"MA0810.1","TFAP2A(var.2)"
"MA0875.1",0.907236458449142,0.0572095520419184,0.746,0.684,1,0.0619999999999999,"MA0875.1","BARX1"
"MA1548.1",0.914645780194725,0.0872469187431844,0.551,0.474,1,0.0770000000000001,"MA1548.1","PLAGL2"
"MA1588.1",0.915419159319219,0.138620381291866,0.669,0.632,1,0.037,"MA1588.1","ZNF136"
"MA0795.1",0.921238024844128,-0.00240565970320622,0.445,0.432,1,0.013,"MA0795.1","SMAD3"
"MA0882.1",0.926951910760622,0.0040579201952462,0.504,0.479,1,0.025,"MA0882.1","DLX6"
"MA0503.1",0.933114410523234,-0.02696820667789,0.43,0.483,1,-0.053,"MA0503.1","Nkx2-5(var.2)"
"MA0722.1",0.944573616141545,-0.0069516722786484,0.5,0.483,1,0.017,"MA0722.1","VAX1"
"MA0723.1",0.944573616141545,-0.0069516722786484,0.5,0.483,1,0.017,"MA0723.1","VAX2"
"MA1481.1",0.944573616141545,-0.0069516722786484,0.5,0.483,1,0.017,"MA1481.1","DRGX"
"MA0893.2",0.944573616141545,-0.0069516722786484,0.5,0.483,1,0.017,"MA0893.2","GSX2"
"MA1505.1",0.949404499527753,0.00123758877868713,0.526,0.521,1,0.005,"MA1505.1","HOXC8"
"MA0713.1",0.955863096769983,-0.54344629344862,0.276,0.282,1,-0.00599999999999995,"MA0713.1","PHOX2A"
"MA0658.1",0.968907633754394,0.111521448064251,0.548,0.534,1,0.014,"MA0658.1","LHX6"
"MA0913.2",0.97657243402551,-0.086853213442211,0.408,0.462,1,-0.054,"MA0913.2","HOXD9"
"MA0767.1",0.98306810129415,-0.170788325689629,0.368,0.38,1,-0.012,"MA0767.1","GCM2"
"MA0464.2",0.9843833037986,-0.211867383784849,0.324,0.316,1,0.00800000000000001,"MA0464.2","BHLHE40"
"MA1576.1",0.991072879980511,0.154428458118024,0.632,0.585,1,0.047,"MA1576.1","THRB(var.3)"
"MA1153.1",0.991763246981177,0.0868796139280261,0.64,0.632,1,0.00800000000000001,"MA1153.1","Smad4"
"MA0812.1",0.995285860179686,0.0198869739267132,0.382,0.372,1,0.01,"MA0812.1","TFAP2B(var.2)"
"MA0894.1",0.999248771351285,0.0745752006211781,0.522,0.427,1,0.095,"MA0894.1","HESX1"
