"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","dpct","gene","motif"
"MA0848.1",3.88796232920025e-06,0.601851936085183,0.895,0.779,0.00290041989758338,0.116,"MA0848.1","FOXO4"
"MA0849.1",3.88796232920025e-06,0.601851936085183,0.895,0.779,0.00290041989758338,0.116,"MA0849.1","FOXO6"
"MA0850.1",3.88796232920025e-06,0.601851936085183,0.895,0.779,0.00290041989758338,0.116,"MA0850.1","FOXP3"
"MA0798.2",4.09627131545591e-06,-0.529967790601553,0.711,0.844,0.00305581840133011,-0.133,"MA0798.2","RFX3"
"MA0090.3",6.06985870275802e-06,0.550847135879131,0.961,0.918,0.00452811459225748,0.0429999999999999,"MA0090.3","TEAD1"
"MA0659.2",6.18577832242044e-06,-0.818524152319271,0.395,0.705,0.00461459062852565,-0.31,"MA0659.2","MAFG"
"MA0504.1",6.20063377950706e-06,0.507593378756701,0.882,0.811,0.00462567279951227,0.071,"MA0504.1","NR2C2"
"MA1466.1",6.21203507682876e-06,-1.5510107148856,0.237,0.541,0.00463417816731425,-0.304,"MA1466.1","ATF6"
"MA0047.3",6.40192328029112e-06,0.538933430124308,0.934,0.852,0.00477583476709718,0.0820000000000001,"MA0047.3","FOXA2"
"MA0065.2",6.50278163253573e-06,0.47985657433212,0.947,0.902,0.00485107509787166,0.0449999999999999,"MA0065.2","Pparg::Rxra"
"MA0518.1",8.91401848277851e-06,-0.606620821763974,0.658,0.902,0.00664985778815277,-0.244,"MA0518.1","Stat4"
"MA0783.1",9.09587363025798e-06,-1.04008427284852,0.316,0.598,0.00678552172817246,-0.282,"MA0783.1","PKNOX2"
"MA0753.2",9.53410957687912e-06,0.700537041509398,0.776,0.484,0.00711244574435182,0.292,"MA0753.2","ZNF740"
"MA0031.1",1.03167996470231e-05,0.600672610648372,0.908,0.73,0.00769633253667924,0.178,"MA0031.1","FOXD1"
"MA0157.2",1.03167996470231e-05,0.600672610648372,0.908,0.73,0.00769633253667924,0.178,"MA0157.2","FOXO3"
"MA0774.1",1.10198568383734e-05,-1.00131565792218,0.368,0.631,0.00822081320142657,-0.263,"MA0774.1","MEIS2"
"MA1649.1",1.10447714730568e-05,0.579347724833735,0.908,0.689,0.00823939951890037,0.219,"MA1649.1","ZBTB12"
"MA1643.1",1.20251844555281e-05,0.382022018080947,0.987,0.992,0.00897078760382394,-0.005,"MA1643.1","NFIB"
"MA0119.1",1.2833190932642e-05,0.419840190084101,0.987,0.959,0.00957356043575093,0.028,"MA0119.1","NFIC::TLX1"
"MA1121.1",1.30387639636124e-05,0.517733392166368,0.934,0.934,0.00972691791685488,0,"MA1121.1","TEAD2"
"MA1474.1",1.323127107104e-05,-0.828058842598117,0.382,0.697,0.00987052821899584,-0.315,"MA1474.1","CREB3L4"
"MA0066.1",1.38794511740585e-05,-0.626818680045859,0.579,0.762,0.0103540705758477,-0.183,"MA0066.1","PPARG"
"MA0043.3",1.4673453586885e-05,1.64309338805728,0.513,0.311,0.0109463963758162,0.202,"MA0043.3","HLF"
"MA0855.1",1.4741647937228e-05,0.58356818768803,0.868,0.787,0.0109972693611721,0.081,"MA0855.1","RXRB"
"MA0624.1",1.51345498353836e-05,0.388373911933686,0.974,0.893,0.0112903741771961,0.081,"MA0624.1","NFATC1"
"MA1607.1",1.61169364373304e-05,0.417429373396693,0.974,0.934,0.0120232345822485,0.0399999999999999,"MA1607.1","Foxl2"
"MA1683.1",1.65796855504167e-05,0.530903533081507,0.921,0.836,0.0123684454206108,0.0850000000000001,"MA1683.1","FOXA3"
"MA1653.1",1.87871255744818e-05,0.443846464047147,0.816,0.664,0.0140151956785634,0.152,"MA1653.1","ZNF148"
"MA1103.2",1.88751556536293e-05,0.512208170163685,0.934,0.877,0.0140808661176075,0.0570000000000001,"MA1103.2","FOXK2"
"MA1632.1",2.11403840060328e-05,-0.513254368509547,0.776,0.869,0.0157707264685005,-0.093,"MA1632.1","ATF2"
"MA0788.1",2.6158295104158e-05,2.95470010113968,0.289,0.148,0.0195140881477018,0.141,"MA0788.1","POU3F3"
"MA0625.1",2.63357906699522e-05,0.40640303635344,0.987,0.893,0.0196464998397844,0.094,"MA0625.1","NFATC3"
"MA1501.1",2.65149011867114e-05,8.81948076878339,0.368,0.156,0.0197801162852867,0.212,"MA1501.1","HOXB7"
"MA0025.2",2.95423211961629e-05,1.73622998133462,0.553,0.295,0.0220385716123375,0.258,"MA0025.2","NFIL3"
"MA1421.1",3.0061060123018e-05,1.04016951106182,0.553,0.352,0.0224255508517715,0.201,"MA1421.1","TCF7L1"
"MA0847.2",3.20199845738998e-05,0.443521208481873,0.974,0.926,0.0238869084921293,0.0479999999999999,"MA0847.2","FOXD2"
"MA0520.1",4.70508505472205e-05,0.472323705862722,0.908,0.738,0.0350999345082265,0.17,"MA0520.1","Stat6"
"MA1489.1",5.38835712743275e-05,0.596750832638845,0.868,0.689,0.0401971441706483,0.179,"MA1489.1","FOXN3"
"MA0905.1",5.92299349772104e-05,-0.916033991998027,0.342,0.549,0.044185531492999,-0.207,"MA0905.1","HOXC10"
"MA1574.1",5.94959857501214e-05,0.495782819792062,0.908,0.795,0.0443840053695905,0.113,"MA1574.1","THRB"
"MA0130.1",6.00262212969382e-05,-0.649343897342763,0.553,0.672,0.0447795610875159,-0.119,"MA0130.1","ZNF354C"
"MA0635.1",6.45243805289617e-05,-0.86450240510236,0.368,0.59,0.0481351878746054,-0.222,"MA0635.1","BARHL2"
"MA0634.1",6.52151533108709e-05,1.06386233415763,0.605,0.295,0.0486505043699097,0.31,"MA0634.1","ALX3"
"MA0781.1",6.84349690454076e-05,-1.58990245483719,0.237,0.533,0.051052486907874,-0.296,"MA0781.1","PAX9"
"MA1150.1",7.5544465262202e-05,0.507970351484363,0.921,0.803,0.0563561710856027,0.118,"MA1150.1","RORB"
"MA0114.4",8.31962809382034e-05,0.480125817607725,0.895,0.811,0.0620644255798997,0.084,"MA0114.4","HNF4A"
"MA1527.1",8.39622293132115e-05,0.365377483535066,1,0.984,0.0626358230676558,0.016,"MA1527.1","NFIC(var.2)"
"MA0481.3",8.44396482057043e-05,0.441308645823316,0.934,0.934,0.0629919775614554,0,"MA0481.3","FOXP1"
"MA0072.1",9.69448688369e-05,0.698675790347356,0.763,0.5,0.0723208721523274,0.263,"MA0072.1","RORA(var.2)"
"MA1580.1",0.000123386796855918,-1.3872689999414,0.289,0.5,0.0920465504545147,-0.211,"MA1580.1","ZBTB32"
"MA0670.1",0.000124156621427236,0.753173030535986,0.75,0.516,0.0926208395847183,0.234,"MA0670.1","NFIA"
"MA0161.2",0.000125488015983253,0.45146417066633,0.908,0.852,0.0936140599235065,0.056,"MA0161.2","NFIC"
"MA0492.1",0.00013984183557063,-0.566084433500992,0.618,0.828,0.10432200933569,-0.21,"MA0492.1","JUND(var.2)"
"MA0088.2",0.000147166400706738,-0.489126165247399,0.658,0.803,0.109786134927227,-0.145,"MA0088.2","ZNF143"
"MA0516.2",0.000170055013207925,0.607384961944738,0.75,0.451,0.126861039853112,0.299,"MA0516.2","SP2"
"MA0137.3",0.00017966275825509,-0.404315224446435,0.803,0.951,0.134028417658297,-0.148,"MA0137.3","STAT1"
"MA0495.3",0.000187140191776848,-0.619541113648926,0.487,0.656,0.139606583065528,-0.169,"MA0495.3","MAFF"
"MA1151.1",0.000208591147120541,0.554465428584071,0.895,0.73,0.155608995751924,0.165,"MA1151.1","RORC"
"MA0593.1",0.000215050228357329,0.421558221538888,0.961,0.943,0.160427470354567,0.018,"MA0593.1","FOXP2"
"MA0618.1",0.000237056382974706,0.940162938507048,0.632,0.361,0.176844061699131,0.271,"MA0618.1","LBX1"
"MA0154.4",0.000240616097025136,0.294536974333417,1,1,0.179499608380752,0,"MA0154.4","EBF1"
"MA0115.1",0.000248001586543396,0.527788068740319,0.868,0.754,0.185009183561374,0.114,"MA0115.1","NR1H2::RXRA"
"MA0779.1",0.000281979043224755,-0.821904861675729,0.368,0.598,0.210356366245667,-0.23,"MA0779.1","PAX1"
"MA1525.1",0.000285657878592038,0.340980772708328,0.961,0.91,0.21310077742966,0.0509999999999999,"MA1525.1","NFATC4"
"MA1523.1",0.000321834388754419,-2.93909119721085,0.132,0.32,0.240088454010796,-0.188,"MA1523.1","MSANTD3"
"MA0092.1",0.000333094531155131,0.646079499108421,0.855,0.549,0.248488520241728,0.306,"MA0092.1","Hand1::Tcf3"
"MA0145.3",0.000342599117196562,1.00071086708563,0.461,0.238,0.255578941428635,0.223,"MA0145.3","TFCP2"
"MA0484.2",0.00035051761219256,0.455521818418413,0.921,0.787,0.261486138695649,0.134,"MA0484.2","HNF4G"
"MA1497.1",0.000356647384021242,1.61305878931807,0.395,0.189,0.266058948479847,0.206,"MA1497.1","HOXA6"
"MA0488.1",0.000365742633438978,-0.59724732038006,0.566,0.787,0.272844004545478,-0.221,"MA0488.1","JUN"
"MA1623.1",0.000368157365168209,1.51441820662591,0.355,0.164,0.274645394415484,0.191,"MA1623.1","Stat2"
"MA0613.1",0.000414708913879976,0.473030508099674,0.895,0.852,0.309372849754462,0.043,"MA0613.1","FOXG1"
"MA0614.1",0.000414708913879976,0.473030508099674,0.895,0.852,0.309372849754462,0.043,"MA0614.1","Foxj2"
"MA0485.2",0.000453712614237501,-0.786627385101359,0.329,0.557,0.338469610221176,-0.228,"MA0485.2","HOXC9"
"MA1606.1",0.000533423172280747,0.353624058704975,0.987,0.959,0.397933686521437,0.028,"MA1606.1","Foxf1"
"MA1630.1",0.000534204220103009,0.548370891388145,0.789,0.557,0.398516348196845,0.232,"MA1630.1","Znf281"
"MA0599.1",0.000553260133531822,0.496001713187767,0.605,0.418,0.412732059614739,0.187,"MA0599.1","KLF5"
"MA1604.1",0.000594961594382911,0.288112742117934,1,1,0.443841349409651,0,"MA1604.1","Ebf2"
"MA0480.1",0.000611104618975675,0.433133966430912,0.882,0.828,0.455884045755854,0.054,"MA0480.1","Foxo1"
